galaxy,n,wrms_M0,aicc_M0,bic_M0,wrms_M1,aicc_M1,bic_M1,wrms_M2,aicc_M2,bic_M2,wrms_M3,aicc_M3,bic_M3,winner,dBIC_second_minus_best,dBIC_M2_minus_M0,dBIC_M3_minus_M0,cv_wrms_M0,cv_wrms_M1,cv_wrms_M2,cv_wrms_M3
NGC0300_rotmod,25,4.9324937220794975,35.598407157409454,37.49070426169131,3.6202801257456514,21.273845531941696,23.16614263622355,3.893038047593447,30.41636149497504,32.308658599256894,10.915598370167139,152.07748223951165,152.07748223951165,M1,9.142515963033343,-5.182045662434419,114.58677797782033,4.777638651889526,4.074336685993899,4.054703222671419,10.999632259362397
NGC0801_rotmod,13,24.468970216543262,370.52102782301677,370.45092653793984,27.868251925207428,479.0738482456354,479.0037469605585,30.90039495057643,626.651179479851,626.581078194774,93.16009700541345,5295.453397094271,5295.453397094271,M0,108.55282042261865,256.1301516568342,4925.002470556331,25.85955083660979,26.848302324455744,31.412523473463107,92.89856515543245
NGC0891_rotmod,18,13.038624207213987,229.22090889100033,230.20165240679265,52.417271068142696,3631.808673310773,3632.7894168265652,52.971200789270036,3765.311924099169,3766.2926676149614,87.53399355561696,10114.706034792816,10114.706034792816,M0,3402.5877644197726,3536.0910152081688,9884.504382386023,13.512243720879969,52.09978465255606,52.80974112311573,87.39140905577656
NGC1003_rotmod,36,4.477974237700199,72.71349658215567,75.51689809543153,5.566674995556246,109.98850498442928,112.79190649770514,5.173622619554959,114.10092469970384,116.9043262129797,21.454183415808757,1568.911432434626,1568.911432434626,M0,37.27500840227361,41.38742811754817,1493.3945343391945,4.42995584073511,5.492158514750753,5.1023258377105325,21.448564776189453
NGC1090_rotmod,24,14.130230306694251,337.7138385376443,339.4985176269116,9.541259958277713,156.46622620791908,158.2509052971864,11.839628718129935,269.4064169229825,271.19109601224983,56.25575307616656,5280.381829402086,5280.381829402086,M1,112.94019071506344,-68.30742161466179,4940.883311775174,14.048142239889966,8.086833319017988,10.430446919957234,55.99674148980582
NGC1705_rotmod,14,4.021536441879377,15.70350033925812,15.890705907579548,2.035193629308767,7.8089055675967805,7.996111135918206,1.8381504509978055,13.32673758585726,13.513943154178683,8.53739030619266,47.8286027447359,47.8286027447359,M1,5.517832018260477,-2.3767627534008646,31.937896837156355,4.0203302109271775,2.5276497738443333,2.1039075646257968,8.51330341754356
NGC2366_rotmod,26,4.595155256175817,58.50762332519449,60.50207727080267,3.9811939984531657,45.045199298534015,47.0396532441422,4.435033845458113,70.34090508472136,72.33535903032954,14.328694875085684,524.9199866265216,524.9199866265216,M1,13.462424026660472,11.83328175952687,464.4179093557189,4.561322156523816,3.9828795384435987,4.814878714781457,14.359886561022895
NGC2403_rotmod,73,8.183726127752614,476.0986738454883,480.5081641563565,8.420977586660486,503.85825435249836,508.26774466336656,9.304341381875867,637.7838223664072,642.1933126772755,20.027931374904977,2826.474461986533,2826.474461986533,M0,27.75958050701007,161.68514852091897,2345.9662978301762,8.051398615787278,8.619785916501499,9.323501433600317,20.038414725803403
NGC2683_rotmod,11,32.02898541971926,204.40206197154978,203.69785251714652,16.585702493023387,58.836027215717614,58.13181776131435,19.93829241767711,90.10841246598403,89.40420301158078,52.192080346577725,528.155902536314,528.155902536314,M1,31.272385250266424,-114.29364950556574,324.45805001916744,35.47969205412058,13.37347195267169,18.529062563842047,52.2096355967274
NGC2841_rotmod,50,34.86045679350931,2097.8988146462493,2101.4675415081697,7.657940312607942,105.28768878426818,108.85641564618831,6.064187914158585,67.6120358394668,71.18076270138693,8.61646911571795,127.9072778927661,127.9072778927661,M2,37.675652944801385,-2030.2867788067829,-1973.5602636154035,34.55468786097252,7.8057338374802825,5.873708256526795,8.571422039692592
NGC2903_rotmod,34,25.697706348295867,1725.3443350126604,1728.009959287699,39.94619039200282,4162.842902725908,4165.508527000947,42.13703841938759,4659.359743833046,4662.025368108085,61.509040522377155,9859.599184038912,9859.599184038912,M0,2437.4985677132477,2934.015408820386,8131.589224751213,25.449626587309986,39.83310296579103,42.081404644955896,61.530597760691386
NGC2915_rotmod,30,7.923734526352986,38.84367100348737,41.20162132236724,9.788859996640486,56.943691984243046,59.30164230312291,8.4384541883741,44.419800217931865,46.77775053681173,15.465528068643199,131.04436526242154,131.04436526242154,M0,5.576129214444492,5.576129214444492,89.8427439400543,8.456003105294329,9.70485200430748,8.183745132017728,15.47461177717373
NGC2955_rotmod,24,19.642119885444398,214.06443326285913,215.84911235212644,50.526938795986666,1390.8125736152867,1392.597252704554,51.4503032254275,1459.0085143596477,1460.793193448915,77.23724527807663,3239.264136994254,3239.264136994254,M0,1176.7481403524275,1244.9440810967885,3023.4150246421277,19.610196185646025,49.27688339546869,50.233171072887274,76.34320692244313
NGC2976_rotmod,27,3.175618954369371,27.183216801683365,29.274890533692023,3.400423194429274,30.50841057946991,32.60008431147857,4.791599239583023,73.20940429815549,75.30107803016415,18.698078820380232,786.3969947478474,786.3969947478474,M0,3.325193777786545,46.026187496472126,757.1221042141555,3.3466138046111324,3.373526671747581,4.792304276287611,18.735741623765716
NGC2998_rotmod,13,11.134067844867344,87.61965828032689,87.54955699524996,7.939309428196739,47.107189895744995,47.037088610668064,9.165741989807014,76.36816743707581,76.29806615199888,55.7634335737819,2067.3885048561556,2067.3885048561556,M1,29.260977541330817,-11.251490843251077,1979.8389478609056,11.825832339490834,8.444765265058127,8.161307843012358,55.5267278673625
NGC3109_rotmod,25,2.82099426135829,23.837239073019575,25.72953617730143,2.432148224900551,18.885419016994256,20.777716121276107,4.483775337889054,71.15217199232109,73.04446909660294,4.554021873203734,50.27571106303449,50.27571106303449,M1,4.951820056025323,47.31493291930151,24.546174885733063,2.7902852096792894,2.4305822045406513,4.491500244474167,4.5385940765321
NGC3198_rotmod,43,12.687250730278084,552.8955485415639,556.1179487729511,7.909666852923969,217.52278800693352,220.74518823832065,7.34152607095818,216.40752631997583,219.62992655136296,36.02815903812141,4423.860017973633,4423.860017973633,M2,1.1152616869576946,-336.48802222158815,3867.742069200682,12.8795814231331,7.895882527266243,7.569659361896276,36.02197255125217
